agency,gfs,payment_order_date,amount
E0109833,211,2016-01,340645566.45
E0109833,211,2016-02,549015749.1
E0109833,211,2016-03,62696021.78
E0109833,211,2016-04,499844484.3
E0109833,211,2016-05,224648569.95000002
E0109833,211,2016-06,676832890.99
E0109833,211,2016-07,146913272.1
E0109833,211,2016-08,238042880.07
E0109833,211,2016-09,270600411.12
E0109833,211,2016-10,192037665.75
E0109833,211,2016-11,267528261.07
E0109833,211,2016-12,95683051.37
E0109833,211,2017-01,425186760.02
E0109833,211,2017-02,474027411.90000004
E0109833,211,2017-03,479870452.95000005
E0109833,211,2017-04,142651113.15
E0109833,211,2017-05,383514145.76
E0109833,211,2017-06,154953969.2
E0109833,211,2017-07,324245099.85
E0109833,211,2017-08,182730695.2
E0109833,211,2017-09,137182134.57
E0109833,211,2017-10,139154415.75
E0109833,211,2017-11,86353698.07
E0109833,211,2017-12,320093598.0
E0109833,211,2018-01,76992915.3
E0109833,211,2018-02,129188011.49
E0109833,211,2018-03,267450864.45000002
E0109833,211,2018-04,227983930.6
E0109833,211,2018-05,233208942.29999998
E0109833,211,2018-06,750015063.0
E0109833,211,2018-07,340953151.35
E0109833,211,2018-08,428707307.70000005
E0109833,211,2018-09,447700617.15999997
E0109833,211,2018-10,310569360.15000004
E0109833,211,2018-11,133688672.78
E0109833,211,2018-12,447518499.65999997
E0109833,211,2019-01,88944896.89999999
E0109833,211,2019-02,132875696.10000001
E0109833,211,2019-03,507586532.25
E0109833,211,2019-04,167128805.55
E0109833,211,2019-05,222989759.5
E0109833,211,2019-06,290052273.0
E0109833,211,2019-07,420345900.33
E0109833,211,2019-08,147525034.65
E0109833,211,2019-09,223101031.65
E0109833,211,2019-10,133126332.74
E0109833,211,2019-11,9180985.01
E0109833,211,2019-12,199034412.15
E0109833,211,2020-01,259317645.63
E0109833,211,2020-02,70152936.55
E0109833,211,2020-03,320519024.7
E0109833,211,2020-04,295471903.65000004
E0109833,211,2020-05,231254115.85
E0109833,211,2020-06,232683744.3
E0109833,211,2020-07,294919868.25
E0109833,211,2020-08,491462758.5
E0109833,211,2020-09,268430552.25
E0109833,211,2020-10,60122490.75
E0109833,211,2020-11,148459647.0
E0109833,211,2020-12,251190603.45
E0109833,21108,2016-01,95347948.5
E0109833,21108,2016-04,62659086.12
E0109833,21108,2016-07,9476072.55
E0109833,21108,2016-08,87885420.22
E0109833,21108,2016-09,183300653.55
E0109833,21108,2016-12,92416802.10000001
E0109833,21108,2017-01,89030571.0
E0109833,21108,2017-02,124454989.05000001
E0109833,21108,2017-03,221154027.71
E0109833,21108,2017-04,55929691.650000006
E0109833,21108,2017-05,9751146.3
E0109833,21108,2017-06,20833818.6
E0109833,21108,2017-08,98783862.98
E0109833,21108,2017-09,123151010.85
E0109833,21108,2017-10,128709054.60000001
E0109833,21108,2017-12,185801227.5
E0109833,21108,2018-02,74120513.97
E0109833,21108,2018-03,107455378.77
E0109833,21108,2018-04,24072127.22
E0109833,21108,2018-06,95007867.15
E0109833,21108,2018-07,94092222.27
E0109833,21108,2018-08,197369239.20000002
E0109833,21108,2018-09,9016827.75
E0109833,21108,2018-11,64808813.699999996
E0109833,21108,2018-12,39663145.2
E0109833,21108,2019-01,59990466.900000006
E0109833,21108,2019-02,32117998.83
E0109833,21108,2019-03,53501699.269999996
E0109833,21108,2019-04,54829205.550000004
E0109833,21108,2019-05,82171944.75
E0109833,21108,2019-06,54252844.800000004
E0109833,21108,2019-07,39096874.32
E0109833,21108,2019-09,90142676.17999999
E0109833,21108,2019-11,145085949.75
E0109833,21108,2020-02,44868776.87
E0109833,21108,2020-03,75941356.26
E0109833,21108,2020-04,96255916.05
E0109833,21108,2020-05,40045077.45
E0109833,21108,2020-08,76296420.88
E0109833,21108,2020-11,133576018.80000001
E0109833,21119,2016-01,137485126.68
E0109833,21119,2016-02,54657575.519999996
E0109833,21119,2016-04,165307404.15
E0109833,21119,2016-06,123503991.91
E0109833,21119,2016-07,35905522.91
E0109833,21119,2016-09,258581545.60999998
E0109833,21119,2016-10,25723391.2
E0109833,21119,2016-11,61970941.93
E0109833,21119,2016-12,26660785.62
E0109833,21119,2017-02,55838605.2
E0109833,21119,2017-03,94422361.77
E0109833,21119,2017-04,33899153.4
E0109833,21119,2017-06,14280233.100000001
E0109833,21119,2017-07,48760092.89
E0109833,21119,2017-08,20956872.31
E0109833,21119,2017-10,26987640.7
E0109833,21119,2017-12,85934788.05
E0109833,21119,2018-01,14391544.65
E0109833,21119,2018-02,143273245.69
E0109833,21119,2018-03,76506443.34
E0109833,21119,2018-05,136252710.64
E0109833,21119,2018-06,133653683.10000001
E0109833,21119,2018-08,261180522.87
E0109833,21119,2018-09,102321270.45
E0109833,21119,2018-11,10796663.85
E0109833,21119,2018-12,75938357.99
E0109833,21119,2019-01,68207197.06
E0109833,21119,2019-02,4519780.65
E0109833,21119,2019-03,100117423.35000001
