Agency,GFS,Amount,Payment Date
E0835112,218,28576473,2016-01-03
E0835112,216862,72837256,2016-01-03
E0835112,212652,65623915,2016-01-03
E0835112,218,52164710,2016-01-03
E0835112,211,90981292,2016-01-03
E0835112,21325,86367492,2016-01-03
E0835112,216919,86702900,2016-01-03
E0835112,211526,67787012,2016-01-03
E0835112,216134,22185954,2016-01-03
E0835112,21143,19736212,2016-01-03
E0835112,218926,33653027,2016-01-03
E0835112,216037,57117698,2016-01-03
E0835112,21932,54985600,2016-01-03
E0835112,21665,68078519,2016-01-03
E0835112,21448,25831223,2016-01-03
E0835112,217028,93195512,2016-01-03
E0505028,216037,4907363,2016-01-03
E0505028,21752,25820985,2016-01-03
E0505028,215727,34025121,2016-01-03
E0505028,218,84275450,2016-01-03
E0505028,214,53448229,2016-01-03
E0505028,219,1866274,2016-01-03
E0505028,21709,20034568,2016-01-03
E0505028,216823,26514295,2016-01-03
E0505028,21572,86663388,2016-01-03
E0505028,213183,66954651,2016-01-03
E0505028,21186,95046452,2016-01-03
E0505028,215,38292763,2016-01-03
E0505028,214,110028,2016-01-03
E0505028,211,8971416,2016-01-03
E0982709,211,77275442,2016-01-03
E0982709,215920,55986744,2016-01-03
E0982709,216919,91197128,2016-01-03
E0982709,21434,63015818,2016-01-03
E0982709,21305,27361985,2016-01-03
E0982709,216668,11343211,2016-01-03
E0982709,21186,76759648,2016-01-03
E0982709,216992,2438514,2016-01-03
E0982709,219,90488729,2016-01-03
E0982709,212,9554207,2016-01-03
E0982709,21220,10537206,2016-01-03
E0982709,218,62533431,2016-01-03
E0982709,21709,82420078,2016-01-03
E0982709,212,81261338,2016-01-03
E0982709,21799,21941240,2016-01-03
E0982709,214946,87959560,2016-01-03
E0982709,211,22008486,2016-01-03
E0982709,214,94046784,2016-01-03
E0586075,218,10347584,2016-01-03
E0586075,212,30517270,2016-01-03
E0586075,21220,54902091,2016-01-03
E0586075,21572,73435260,2016-01-03
E0586075,216134,23265972,2016-01-03
E0586075,219,70913828,2016-01-03
E0586075,21872,39911613,2016-01-03
E0586075,21709,27234256,2016-01-03
E0586075,217,62064916,2016-01-03
E0586075,218,81620338,2016-01-03
E0307187,213197,96745078,2016-01-03
E0307187,215920,24156962,2016-01-03
E0307187,216668,71119382,2016-01-03
E0307187,215,99760352,2016-01-03
E0307187,217719,85873186,2016-01-03
E0307187,215124,99822043,2016-01-03
E0307187,219351,64988706,2016-01-03
E0307187,21220,58176972,2016-01-03
E0307187,212,78057511,2016-01-03
E0307187,21665,23555928,2016-01-03
E0307187,21119,77091648,2016-01-03
E0307187,217973,76044307,2016-01-03
E0307187,21434,30202559,2016-01-03
E0307187,212,56094616,2016-01-03
E0307187,219578,94433859,2016-01-03
E0109833,211,73530405,2016-01-03
E0109833,219,9701460,2016-01-03
E0109833,215,89935343,2016-01-03
E0109833,217028,36588007,2016-01-03
E0109833,216037,28250397,2016-01-03
E0109833,212,97938293,2016-01-03
E0109833,213,51415708,2016-01-03
E0109833,214946,67514756,2016-01-03
E0109833,21448,99200090,2016-01-03
E0109833,21668,47339493,2016-01-03
E0109833,211,63532945,2016-01-03
E0109833,21143,89286857,2016-01-03
E0109833,21855,29856227,2016-01-03
E0109833,21820,98216787,2016-01-03
E0109833,21582,12793820,2016-01-03
E0109833,21143,72661618,2016-01-03
E0109833,217973,4638258,2016-01-03
E0337037,212,88915438,2016-01-03
E0337037,213183,94410301,2016-01-03
E0337037,212,41109883,2016-01-03
E0337037,21855,13281540,2016-01-03
E0337037,214357,39545178,2016-01-03
E0337037,21119,78968647,2016-01-03
E0337037,214,25976440,2016-01-03
E0337037,21903,66873002,2016-01-03
E0337037,219578,18366181,2016-01-03
E0337037,219,37915984,2016-01-03
E0337037,216,28104933,2016-01-03
E0337037,216919,82464459,2016-01-03
E0337037,21989,86321596,2016-01-03
E0337037,211,64181402,2016-01-03
E0171808,218,63491815,2016-01-03
E0171808,21872,1656025,2016-01-03
E0171808,21143,25897914,2016-01-03
E0171808,211,2187186,2016-01-03
E0171808,21325,66665432,2016-01-03
E0373479,217604,61070620,2016-01-03
E0373479,217,61678182,2016-01-03
E0373479,21200,92301697,2016-01-03
E0373479,21143,24809022,2016-01-03
E0373479,218926,71440791,2016-01-03
E0373479,214742,41779713,2016-01-03
E0373479,219,79388527,2016-01-03
E0373479,216134,4121578,2016-01-03
E0373479,215920,82301180,2016-01-03
E0863254,21820,65068486,2016-01-03
E0863254,216,45706526,2016-01-03
E0863254,21131,78144573,2016-01-03
E0863254,217,66050808,2016-01-03
E0863254,215727,43156157,2016-01-03
E0863254,216134,50581523,2016-01-03
E0863254,219578,79335143,2016-01-03
E0863254,213,33517411,2016-01-03
E0863254,211,74553798,2016-01-03
E0863254,216,47556013,2016-01-03
E0863254,217719,81413958,2016-01-03
E0863254,213,38924880,2016-01-03
E0863254,214,78538081,2016-01-03
E0835112,21855,76057971,2016-01-08
E0835112,212245,26703205,2016-01-08
E0835112,21799,48222720,2016-01-08
E0835112,21119,9200856,2016-01-08
E0835112,214742,31847346,2016-01-08
E0835112,216992,72366647,2016-01-08
E0835112,215,75187268,2016-01-08
E0505028,217,97752843,2016-01-08
E0505028,218,67093965,2016-01-08
E0505028,216919,74729811,2016-01-08
E0505028,216419,37429057,2016-01-08
E0505028,21448,53791827,2016-01-08
E0505028,213,77838968,2016-01-08
E0505028,215,62511140,2016-01-08
E0505028,21709,57677620,2016-01-08
E0505028,214047,87877020,2016-01-08
E0505028,219388,10204266,2016-01-08
E0505028,215124,69442552,2016-01-08
E0505028,219,81601392,2016-01-08
E0505028,212,14990637,2016-01-08
E0505028,212,16271241,2016-01-08
E0505028,213197,51726497,2016-01-08
E0505028,219,61891163,2016-01-08
E0505028,215727,36604379,2016-01-08
E0982709,215,52533505,2016-01-08
E0982709,21799,53374934,2016-01-08
E0982709,21989,55242463,2016-01-08
E0982709,211,13490327,2016-01-08
E0982709,211,6156558,2016-01-08
E0982709,216,4502420,2016-01-08
E0982709,217719,2308854,2016-01-08
E0982709,21932,65759643,2016-01-08
E0982709,216,57733353,2016-01-08
E0982709,21638,78609563,2016-01-08
E0982709,213,4411786,2016-01-08
E0586075,21433,60427218,2016-01-08
E0586075,21448,62770024,2016-01-08
E0586075,212652,41815110,2016-01-08
E0586075,21709,93854531,2016-01-08
E0586075,211,73298390,2016-01-08
E0586075,21582,30315367,2016-01-08
E0586075,215727,83595888,2016-01-08
E0586075,21186,42307749,2016-01-08
E0586075,212,68079070,2016-01-08
E0586075,216419,70070490,2016-01-08
E0586075,211526,55734159,2016-01-08
E0307187,219,42920426,2016-01-08
E0307187,21433,8530419,2016-01-08
E0307187,211526,49114016,2016-01-08
E0307187,21903,70730692,2016-01-08
E0307187,21572,6011842,2016-01-08
E0307187,21709,10019918,2016-01-08
E0109833,21799,64690799,2016-01-08
E0109833,218,30337029,2016-01-08
E0109833,213,36183706,2016-01-08
E0109833,21119,52837182,2016-01-08
E0109833,219578,24906971,2016-01-08
E0109833,211,58671042,2016-01-08
E0109833,218,80464276,2016-01-08
E0109833,21131,40800935,2016-01-08
E0109833,217604,89250651,2016-01-08
E0109833,212,10764906,2016-01-08
E0109833,216992,87640337,2016-01-08
E0109833,213,76285609,2016-01-08
E0109833,216668,89564578,2016-01-08
E0109833,21325,81974529,2016-01-08
E0109833,216862,37593867,2016-01-08
E0109833,217973,21279616,2016-01-08
E0109833,214695,6283282,2016-01-08
E0109833,21433,41513285,2016-01-08
E0337037,21305,47836019,2016-01-08
E0337037,21515,31818055,2016-01-08
E0337037,214,11823214,2016-01-08
E0337037,21446,48400628,2016-01-08
E0337037,217719,53526396,2016-01-08
E0337037,216668,37804394,2016-01-08
E0337037,216862,97409482,2016-01-08
E0337037,211,99710862,2016-01-08
E0171808,21143,3872270,2016-01-08
E0171808,21980,4387843,2016-01-08
E0171808,21820,65954748,2016-01-08
E0171808,218,46106940,2016-01-08
E0171808,213,44527260,2016-01-08
E0171808,214,9134823,2016-01-08
E0171808,214312,19954377,2016-01-08
E0171808,212,31319759,2016-01-08
E0171808,211,58229376,2016-01-08
E0171808,213,42158762,2016-01-08
E0171808,215124,43525342,2016-01-08
E0171808,21143,61488255,2016-01-08
E0373479,21434,85674591,2016-01-08
E0373479,215124,67663692,2016-01-08
E0373479,217973,58847402,2016-01-08
E0373479,21186,54628922,2016-01-08
E0373479,214695,18115351,2016-01-08
E0373479,211,40976864,2016-01-08
E0863254,21119,8542373,2016-01-08
E0863254,217,91489869,2016-01-08
E0863254,217719,73065692,2016-01-08
E0863254,21325,87413288,2016-01-08
E0863254,218,44351091,2016-01-08
E0835112,21119,22449751,2016-01-15
E0835112,21989,24594027,2016-01-15
E0835112,218,36123935,2016-01-15
E0835112,218926,2649097,2016-01-15
E0835112,211,46875545,2016-01-15
E0835112,212652,27186218,2016-01-15
E0835112,214,52119054,2016-01-15
E0835112,212,39544555,2016-01-15
E0505028,216419,33673167,2016-01-15
E0505028,211,11741275,2016-01-15
E0505028,219388,7497995,2016-01-15
E0505028,219578,23491802,2016-01-15
E0505028,218,83170612,2016-01-15
E0505028,212,93090706,2016-01-15
E0505028,211,45170079,2016-01-15
E0505028,214742,42372094,2016-01-15
E0505028,213,28837749,2016-01-15
E0505028,219,12805436,2016-01-15
E0505028,21186,76213623,2016-01-15
E0505028,211,82138549,2016-01-15
E0505028,218,15878781,2016-01-15
E0982709,214,7516155,2016-01-15
E0982709,219388,81777091,2016-01-15
E0982709,213183,58151434,2016-01-15
E0982709,211,2533964,2016-01-15
E0982709,216134,46648390,2016-01-15
E0982709,215706,83494246,2016-01-15
E0982709,215,51190638,2016-01-15
E0982709,21668,18958328,2016-01-15
E0982709,219351,83356658,2016-01-15
E0982709,21932,84899328,2016-01-15
E0982709,216037,99135187,2016-01-15
E0586075,212245,45363863,2016-01-15
E0586075,217604,48992576,2016-01-15
E0586075,215,4378830,2016-01-15
E0586075,212,20605148,2016-01-15
E0586075,214729,69354950,2016-01-15
E0586075,214312,20177101,2016-01-15
E0586075,213,231106,2016-01-15
